

店名	日付	category	action	label	件数	時	分	秒
"NEW カラオケミッション 刈谷駅前店"	2026-04-04	501_Splash	AppStart	location=34.9203,136.9901,17.3461	1	21	32	05
"NEW カラオケミッション 刈谷駅前店"	2026-04-01	501_Splash	AppStart	location=34.92098,136.9896,15.53629	1	11	52	37
"NEW カラオケミッション 刈谷駅前店"	2026-04-26	501_Splash	AppStart	location=34.92309,136.9336,43.49157	1	22	24	24
"NEW カラオケミッション 刈谷駅前店"	2026-04-01	501_Splash	AppStart	location=34.92374,136.9825,46	2	11	42	39
"NEW カラオケミッション 刈谷駅前店"	2026-04-24	501_Splash	AppStart	location=34.92504,137.1601,16.35957	1	19	54	06
"NEW カラオケミッション 刈谷駅前店"	2026-04-13	501_Splash	AppStart	location=34.92585,137.1566,68.8	1	18	26	28
"NEW カラオケミッション 刈谷駅前店"	2026-04-24	501_Splash	AppStart	location=34.92639,137.1695,32.02957	1	20	36	13
"NEW カラオケミッション 刈谷駅前店"	2026-04-29	501_Splash	AppStart	location=34.92663,137.001,7.678634	1	20	00	47
"NEW カラオケミッション 刈谷駅前店"	2026-04-29	501_Splash	AppStart	location=34.92672,137.0009,5.952664	1	20	01	02
"NEW カラオケミッション 刈谷駅前店"	2026-04-26	501_Splash	AppStart	location=34.92672,137.1596,20.0493	1	01	58	46
"NEW カラオケミッション 刈谷駅前店"	2026-04-29	501_Splash	AppStart	location=34.93055,137.1654,22.81564	1	13	11	42
"NEW カラオケミッション 刈谷駅前店"	2026-04-02	501_Splash	AppStart	location=34.93056,137.1653,7.552646	1	04	48	46
"NEW カラオケミッション 刈谷駅前店"	2026-04-29	501_Splash	AppStart	location=34.93278,136.9962,9.998415	1	21	32	57
"NEW カラオケミッション 刈谷駅前店"	2026-04-01	501_Splash	AppStart	location=34.93279,136.9962,10.50774	1	11	36	52
"NEW カラオケミッション 刈谷駅前店"	2026-04-09	501_Splash	AppStart	location=34.93279,136.9962,8.662384	1	07	56	41
"NEW カラオケミッション 刈谷駅前店"	2026-04-01	501_Splash	AppStart	location=34.93393,136.9884,49.5	2	11	04	27
"NEW カラオケミッション 刈谷駅前店"	2026-04-25	501_Splash	AppStart	location=34.94076,136.9995,10.71573	1	16	41	57
"NEW カラオケミッション 刈谷駅前店"	2026-04-02	501_Splash	AppStart	location=34.94539,137.0748,30.71602	1	20	48	04
"NEW カラオケミッション 刈谷駅前店"	2026-04-06	501_Splash	AppStart	location=34.94545,137.0748,29.52117	1	19	49	49
"NEW カラオケミッション 刈谷駅前店"	2026-04-10	501_Splash	AppStart	location=34.9464,136.9925,64.70892	1	19	14	58
"NEW カラオケミッション 刈谷駅前店"	2026-04-10	501_Splash	AppStart	location=34.94642,136.9924,44.7	1	19	15	11
"NEW カラオケミッション 刈谷駅前店"	2026-04-01	501_Splash	AppStart	location=34.94644,136.9924,42.74873	2	07	05	00
